parking_id,primary_source,primary_source_id,last_updated,fetched_at,total_spot_number,free_spot_number,occupied_spot_number,closed_spot_number,has_free_spots,occupancy_rate,hour,day_of_week,is_weekend,date
bedrichov-656da0a77e188300012f652e,bedrichov,656da0a77e188300012f652e,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,200,200,0,,True,0.0,12,6,1,2026-04-19
bedrichov-656da0f57e188300012f653c,bedrichov,656da0f57e188300012f653c,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,170,167,3,,True,0.017647,12,6,1,2026-04-19
bedrichov-656da0247e188300012f6512,bedrichov,656da0247e188300012f6512,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,30,30,0,,True,0.0,12,6,1,2026-04-19
bedrichov-656da0497e188300012f651a,bedrichov,656da0497e188300012f651a,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,200,200,0,,True,0.0,12,6,1,2026-04-19
bedrichov-656da07b7e188300012f6524,bedrichov,656da07b7e188300012f6524,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,100,97,3,,True,0.03,12,6,1,2026-04-19
bedrichov-657727df9e01fb0001621c0a,bedrichov,657727df9e01fb0001621c0a,2026-04-19T12:40:01.101Z,2026-04-19T12:40:41+00:00,150,150,0,,True,0.0,12,6,1,2026-04-19
greencenter-1219,greencenter,1219,2026-04-19T12:40:15.322Z,2026-04-19T12:40:41+00:00,97,89,8,,True,0.082474,12,6,1,2026-04-19
greencenter-1438,greencenter,1438,2026-04-19T12:40:15.357Z,2026-04-19T12:40:41+00:00,171,165,6,,True,0.035088,12,6,1,2026-04-19
isphk-hk_isp_001,isphk,hk_isp_001,2026-04-19T12:40:11.089Z,2026-04-19T12:40:41+00:00,60,42,18,,True,0.3,12,6,1,2026-04-19
isphk-hk_isp_002,isphk,hk_isp_002,2026-04-19T12:40:11.089Z,2026-04-19T12:40:41+00:00,284,153,131,,True,0.461268,12,6,1,2026-04-19
isphk-hk_isp_003,isphk,hk_isp_003,2026-04-19T12:40:11.089Z,2026-04-19T12:40:41+00:00,425,95,330,,True,0.776471,12,6,1,2026-04-19
isphk-hk_isp_004,isphk,hk_isp_004,2026-04-19T12:40:11.089Z,2026-04-19T12:40:41+00:00,50,29,21,,True,0.42,12,6,1,2026-04-19
isphk-hk_isp_005,isphk,hk_isp_005,2026-04-19T12:40:11.089Z,2026-04-19T12:40:41+00:00,497,253,244,,True,0.490946,12,6,1,2026-04-19
korid-1,korid,1,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,24,3,21,0,True,0.875,12,6,1,2026-04-19
korid-10,korid,10,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,9,4,5,0,True,0.555556,12,6,1,2026-04-19
korid-11,korid,11,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,23,4,19,0,True,0.826087,12,6,1,2026-04-19
korid-12,korid,12,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,63,22,41,0,True,0.650794,12,6,1,2026-04-19
korid-13,korid,13,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,24,15,9,0,True,0.375,12,6,1,2026-04-19
korid-14,korid,14,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,12,1,11,0,True,0.916667,12,6,1,2026-04-19
korid-16,korid,16,2026-04-19T12:39:51.281Z,2026-04-19T12:40:41+00:00,31,5,26,0,True,0.83871,12,6,1,2026-04-19
